,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
91,2001,110,w4+,決勝,4,名古屋大学,122.64,251.69,384.19,514.04,2,
92,2001,110,w4+,決勝,2,立教大学,126.91,260.18,396.46,530.69,3,
93,2001,110,w4+,決勝,5,新潟大学,127.48,266.47,412.27,556.38,4,
96,2001,5,m2x,予選A組,6,岐阜経済大学,100.63,206.81,315.75,426.34,1,->Semi-Final
97,2001,5,m2x,予選A組,3,慶応義塾大学C,108.18,220.3,333.0,443.34,2,
98,2001,5,m2x,予選A組,4,東京経済大学A,104.2,215.55,330.45,444.55,3,
99,2001,5,m2x,予選A組,1,東京経済大学B,116.13,235.75,356.39,481.47,4,
100,2001,5,m2x,予選A組,5,東京大学,114.33,238.35,366.13,489.28,5,
101,2001,5,m2x,予選A組,2,新潟大学,126.04,260.25,391.41,519.34,6,
102,2001,6,m2x,予選B組,2,美方高校,104.15,216.5,327.95,435.63,1,->Semi-Final
103,2001,6,m2x,予選B組,1,法政大学,103.9,214.18,326.39,440.54,2,
104,2001,6,m2x,予選B組,3,立命館大学B,108.39,224.64,343.09,462.07,3,
105,2001,6,m2x,予選B組,6,早稲田大学C,110.59,225.54,344.18,462.56,4,
106,2001,6,m2x,予選B組,4,北海道大学A,110.78,226.94,345.07,468.92,5,
107,2001,6,m2x,予選B組,5,立命館大学A,111.01,232.45,354.13,475.44,6,
108,2001,7,m2x,予選C組,2,日本体育大学,98.98,204.71,314.39,428.04,1,->Semi-Final
109,2001,7,m2x,予選C組,1,鹿屋体育大学,99.18,208.84,316.55,452.31,2,
110,2001,7,m2x,予選C組,4,立教大学B,117.41,242.9,370.82,500.44,3,
111,2001,7,m2x,予選C組,6,金沢大学B,126.16,253.58,384.3,513.55,4,
112,2001,7,m2x,予選C組,3,北海道大学E,121.7,257.7,393.51,526.44,5,
113,2001,7,m2x,予選C組,5,石巻専修大学,125.1,258.34,397.22,530.16,6,
114,2001,8,m2x,予選D組,2,早稲田大学A,101.85,211.46,320.7,426.6,1,->Semi-Final
115,2001,8,m2x,予選D組,1,日本大学,102.06,212.26,323.06,430.56,2,
116,2001,8,m2x,予選D組,3,中部電力,99.15,209.75,322.14,436.55,3,
117,2001,8,m2x,予選D組,6,千葉大学B,106.35,222.98,339.98,454.74,4,
118,2001,8,m2x,予選D組,4,東京工業大学,108.48,226.67,347.66,469.88,5,
119,2001,8,m2x,予選D組,5,金沢大学C,133.28,270.2,405.78,548.76,6,
120,2001,9,m2x,予選E組,1,中央大学,98.09,205.01,314.73,421.9,1,->Semi-Final
121,2001,9,m2x,予選E組,2,茨城大学,113.4,231.1,348.71,468.38,2,
122,2001,9,m2x,予選E組,3,福島大学,112.48,233.07,356.33,479.54,3,
123,2001,9,m2x,予選E組,4,北海道大学D,112.94,234.16,357.05,485.28,4,
124,2001,9,m2x,予選E組,6,千葉大学A,117.51,238.07,363.65,489.9,5,
125,2001,9,m2x,予選E組,5,北海道大学C,120.28,248.14,380.19,519.1,6,
126,2001,10,m2x,予選F組,3,東海大学,105.9,220.23,335.89,451.05,1,->Semi-Final
127,2001,10,m2x,予選F組,1,金沢大学A,112.45,227.81,342.62,455.7,2,
128,2001,10,m2x,予選F組,6,一橋大学,108.45,224.16,342.31,458.09,3,
129,2001,10,m2x,予選F組,2,慶應義塾大学E,109.77,228.32,348.0,468.88,4,
130,2001,10,m2x,予選F組,4,桜宮高校,113.11,232.62,354.14,472.34,5,
131,2001,10,m2x,予選F組,5,立教大学A,116.95,237.7,359.3,480.88,6,
132,2001,11,m2x,予選G組,3,富山国際大学,104.48,216.97,332.56,447.57,1,->Semi-Final
133,2001,11,m2x,予選G組,2,市立横浜商業高校,107.58,222.26,337.96,450.66,2,
134,2001,11,m2x,予選G組,5,関西電力美浜RC,105.46,218.0,335.25,453.37,3,
135,2001,11,m2x,予選G組,1,早稲田大学B,109.58,224.75,343.92,462.55,4,
136,2001,11,m2x,予選G組,4,北海道大学B,120.62,250.51,380.57,511.88,5,
138,2001,12,m2x,予選H組,4,宇和島水産高校,96.59,201.67,309.62,417.27,1,->Semi-Final
139,2001,12,m2x,予選H組,2,慶應義塾大学B,102.27,212.08,324.85,436.95,2,
140,2001,12,m2x,予選H組,1,慶応義塾大学D,106.18,220.5,336.69,450.32,3,
141,2001,12,m2x,予選H組,3,慶應義塾大学A,109.62,224.65,340.37,452.28,4,
142,2001,12,m2x,予選H組,5,東京農業大学B,116.27,239.04,370.43,499.09,5,
144,2001,52,m2x,敗復A組,4,慶應義塾大学A,107.67,218.09,330.94,441.64,1,->Semi-Final
145,2001,52,m2x,敗復A組,3,市立横浜商業高校,106.51,219.02,330.45,443.4,2,
146,2001,52,m2x,敗復A組,2,福島大学,112.26,232.52,350.52,468.97,3,
147,2001,52,m2x,敗復A組,5,立教大学A,120.29,243.09,363.74,482.0,4,
150,2001,53,m2x,敗復B組,4,鹿屋体育大学,100.2,206.84,313.94,423.71,1,->Semi-Final
151,2001,53,m2x,敗復B組,3,慶応義塾大学D,109.65,221.22,334.83,449.52,2,
152,2001,53,m2x,敗復B組,2,立命館大学A,110.09,225.25,341.89,462.84,3,
153,2001,53,m2x,敗復B組,5,東京経済大学B,115.74,231.72,348.92,466.68,4,
156,2001,54,m2x,敗復C組,3,東京経済大学A,104.34,215.16,326.8,436.39,1,->Semi-Final
157,2001,54,m2x,敗復C組,4,関西電力美浜RC,106.3,217.19,329.44,441.94,2,
158,2001,54,m2x,敗復C組,2,桜宮高校,111.92,230.82,350.64,466.81,3,
159,2001,54,m2x,敗復C組,5,北海道大学D,113.14,234.95,361.69,486.94,4,
160,2001,54,m2x,敗復C組,1,金沢大学C,132.1,275.53,410.7,542.59,5,
162,2001,55,m2x,敗復D組,3,慶応義塾大学C,108.04,218.54,332.93,445.75,1,->Semi-Final
163,2001,55,m2x,敗復D組,4,千葉大学B,105.55,218.16,335.81,448.88,2,
164,2001,55,m2x,敗復D組,2,東京工業大学,110.12,223.56,337.82,450.43,3,
165,2001,55,m2x,敗復D組,5,東京大学,112.34,231.27,367.38,494.22,4,
166,2001,55,m2x,敗復D組,1,石巻専修大学,121.04,255.94,393.18,525.0,5,
168,2001,56,m2x,敗復E組,3,法政大学,102.22,212.39,321.69,434.27,1,->Semi-Final
169,2001,56,m2x,敗復E組,4,金沢大学A,105.97,218.64,332.06,445.28,2,
170,2001,56,m2x,敗復E組,2,北海道大学A,107.97,221.26,333.75,450.14,3,
171,2001,56,m2x,敗復E組,5,千葉大学A,115.22,238.95,363.77,493.76,4,
172,2001,56,m2x,敗復E組,1,北海道大学E,119.65,250.31,392.13,524.94,5,
174,2001,57,m2x,敗復F組,3,慶應義塾大学B,102.66,209.98,321.99,433.6,1,->Semi-Final
175,2001,57,m2x,敗復F組,4,一橋大学,106.31,217.93,333.54,448.91,2,
176,2001,57,m2x,敗復F組,2,慶應義塾大学E,104.94,220.38,336.31,455.13,3,
177,2001,57,m2x,敗復F組,5,東京農業大学B,110.45,232.43,358.47,488.05,4,
178,2001,57,m2x,敗復F組,1,新潟大学,122.31,249.38,379.47,511.63,5,
180,2001,58,m2x,敗復G組,3,中部電力,101.48,210.84,323.13,434.94,1,->Semi-Final
181,2001,58,m2x,敗復G組,4,立命館大学B,108.38,222.18,338.1,454.44,2,
182,2001,58,m2x,敗復G組,2,茨城大学,111.44,227.21,404.68,463.54,3,
183,2001,58,m2x,敗復G組,5,立教大学B,119.48,246.46,373.42,499.29,4,
184,2001,58,m2x,敗復G組,1,北海道大学C,120.42,245.53,379.51,508.91,5,
186,2001,59,m2x,敗復H組,3,日本大学,104.86,212.1,323.3,433.72,1,->Semi-Final
187,2001,59,m2x,敗復H組,4,早稲田大学B,106.82,221.08,339.02,453.07,2,
188,2001,59,m2x,敗復H組,2,早稲田大学C,109.32,222.06,337.23,453.78,3,
189,2001,59,m2x,敗復H組,5,北海道大学B,119.86,243.21,368.8,499.31,4,
190,2001,59,m2x,敗復H組,1,金沢大学B,123.99,252.45,382.14,514.4,5,
192,2001,92,m2x,準決A組,2,鹿屋体育大学,107.65,221.91,340.19,456.09,1,->Final A
193,2001,92,m2x,準決A組,4,日本体育大学,109.07,224.5,343.52,458.22,2,->Final B
194,2001,92,m2x,準決A組,3,早稲田大学A,110.44,230.41,351.33,467.42,3,
195,2001,92,m2x,準決A組,5,慶応義塾大学C,119.67,246.24,374.21,500.43,4,
198,2001,93,m2x,準決B組,4,美方高校,110.94,233.11,351.23,468.16,1,->Final A
199,2001,93,m2x,準決B組,3,岐阜経済大学,110.69,232.76,353.66,472.9,2,->Final B
200,2001,93,m2x,準決B組,2,慶應義塾大学B,107.84,229.81,354.9,477.75,3,
201,2001,93,m2x,準決B組,5,慶應義塾大学A,116.51,243.26,372.33,496.96,4,
204,2001,94,m2x,準決C組,3,中央大学,106.33,222.74,339.2,456.01,1,->Final A
205,2001,94,m2x,準決C組,2,日本大学,108.19,227.35,340.03,461.09,2,->Final B
206,2001,94,m2x,準決C組,4,富山国際大学,109.62,232.79,358.32,481.15,3,
207,2001,94,m2x,準決C組,5,東京経済大学A,113.6,237.42,359.2,483.89,4,
210,2001,95,m2x,準決D組,3,宇和島水産高校,103.3,214.21,330.48,448.22,1,->Final A
211,2001,95,m2x,準決D組,5,中部電力,110.98,226.52,343.03,459.35,2,->Final B
212,2001,95,m2x,準決D組,2,法政大学,113.59,227.26,345.32,461.74,3,
213,2001,95,m2x,準決D組,4,東海大学,114.78,234.4,359.89,483.59,4,
216,2001,113,m2x,順決,3,日本体育大学,102.91,212.07,327.35,449.52,1,
217,2001,113,m2x,順決,4,中部電力,106.84,221.75,336.76,464.05,2,
218,2001,113,m2x,順決,5,岐阜経済大学,108.7,222.21,341.17,469.66,3,
222,2001,114,m2x,決勝,3,宇和島水産高校,103.49,212.46,320.71,430.46,1,
223,2001,114,m2x,決勝,2,鹿屋体育大学,105.65,214.73,324.94,442.55,2,
224,2001,114,m2x,決勝,4,中央大学,105.89,217.48,330.54,444.7,3,
