year,nace_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,500m(s),1000m(s),1500m(s),2000m(s),order,qualify
2001,83,m4+,敗復B組,1,鹿児島大学,01:56.60,04:02.19,06:09.44,08:15.24,116.6,242.19,369.44,495.24,5,
2001,84,m4+,敗復C組,3,富山国際大学,01:38.49,03:21.94,05:08.60,06:56.19,98.49000000000001,201.94,308.6,416.19,1,->Semi-Final
2001,84,m4+,敗復C組,4,東海大学,01:41.00,03:23.27,05:10.28,07:02.01,101.0,203.27,310.28,422.01,2,
2001,84,m4+,敗復C組,2,一橋大学A,01:42.80,03:28.34,05:19.37,07:10.48,102.8,208.34,319.37,430.48,3,
2001,84,m4+,敗復C組,5,一橋大学B,01:45.38,03:32.95,05:22.76,07:13.32,105.38,212.95,322.76,433.32,4,
2001,84,m4+,敗復C組,1,九州大学,01:52.34,03:44.12,05:40.39,07:39.17,112.34,224.12,340.39,459.17,5,
2001,85,m4+,敗復D組,3,法政大学,01:38.94,03:26.32,05:13.89,07:00.04,98.94,206.32,313.89,420.04,1,->Semi-Final
2001,85,m4+,敗復D組,2,東京工業大学,01:42.62,03:32.33,05:19.94,07:07.84,102.62,212.32999999999998,319.94,427.84,2,
2001,85,m4+,敗復D組,4,東北大学,01:43.01,03:31.26,05:19.60,07:08.94,103.00999999999999,211.26,319.6,428.94,3,
2001,85,m4+,敗復D組,5,新潟大学,01:48.70,03:37.69,05:27.67,07:18.98,108.7,217.69,327.67,438.98,4,
2001,85,m4+,敗復D組,1,北海道大学,01:46.06,03:40.92,05:37.84,07:33.44,106.06,220.92000000000002,337.84000000000003,453.44,5,
2001,105,m4+,準決A組,4,慶應義塾大学,01:43.56,03:31.86,05:20.54,07:07.72,103.56,211.86,320.54,427.72,1,->Final A
2001,105,m4+,準決A組,2,龍谷大学,01:41.40,03:30.26,05:22.61,07:11.55,101.4,210.26,322.61,431.55,2,->Final A
2001,105,m4+,準決A組,3,立命館大学,01:41.18,03:31.46,05:23.24,07:14.52,101.18,211.46,323.24,434.52,3,->Final B
2001,105,m4+,準決A組,5,法政大学,01:44.14,03:34.99,05:29.57,07:19.80,104.14,214.99,329.57,439.8,4,->Final B
2001,106,m4+,準決B組,3,同志社大学,01:42.62,03:32.26,05:22.25,07:14.06,102.62,212.26,322.25,434.06,1,->Final A
