year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
2001,m4+,予選A組,21,2,同志社大学,01:40.79,03:24.52,05:12.97,07:00.36,1,
2001,m4+,予選A組,21,3,筑波大学,01:43.89,03:31.10,05:22.38,07:09.12,5,
2001,m4+,予選A組,21,4,一橋大学,01:43.34,03:32.32,05:25.87,07:13.79,3,
2001,m4+,予選A組,21,5,滋賀大学教育学部,01:52.23,03:43.37,05:38.54,07:29.40,6,
2001,m4+,予選A組,21,6,杏林大学,01:57.76,03:58.91,06:02.45,08:02.78,4,
2001,m4+,予選B組,22,1,立教大学,01:41.15,03:23.64,05:10.81,06:58.18,1,->Semi-Final
2001,m4+,予選B組,22,2,法政大学,01:39.99,03:24.12,05:11.95,06:59.84,5,
2001,m4+,予選B組,22,3,九州大学,01:46.28,03:33.19,05:22.48,07:14.56,6,
2001,m4+,予選B組,22,4,大阪市立大学,01:43.69,03:32.55,05:26.11,07:20.04,2,
2001,m4+,予選B組,22,5,関西学院大学,01:44.41,03:33.86,05:27.87,07:22.76,4,
2001,m4+,予選B組,22,6,熊本大学,01:47.28,03:39.06,05:36.65,07:37.26,3,
2001,m4+,予選C組,23,1,広島大学,01:40.39,03:28.04,05:20.39,07:12.00,2,->Semi-Final
2001,m4+,予選C組,23,2,北海道大学,01:44.39,03:32.88,05:25.92,07:18.87,3,
2001,m4+,予選C組,23,3,鳥取大学,01:43.91,03:35.04,05:30.90,07:25.39,5,
2001,m4+,予選C組,23,4,南山大学,01:47.14,03:36.24,05:33.70,07:30.37,4,
2001,m4+,予選C組,23,5,埼玉大学,01:45.93,03:42.54,05:46.17,07:47.04,1,
2001,m4+,予選D組,24,1,早稲田大学,01:42.61,03:32.84,05:23.96,07:15.54,4,->Semi-Final
2001,m4+,予選D組,24,2,東京商船大学,01:42.14,03:34.17,05:27.30,07:18.94,3,
2001,m4+,予選D組,24,3,富山国際大学,01:44.67,03:36.96,05:30.72,07:21.84,1,
2001,m4+,予選D組,24,4,成蹊大学,01:46.89,03:39.54,05:32.07,07:24.33,2,
2001,m4+,予選D組,24,5,山口大学,01:50.67,03:47.55,05:48.44,07:49.33,5,
2001,m4+,予選E組,25,1,立命館大学,01:40.30,03:25.20,05:11.74,06:57.98,2,->Semi-Final
2001,m4+,予選E組,25,2,東海大学,01:43.45,03:31.30,05:27.34,07:24.86,3,
2001,m4+,予選E組,25,3,大阪大学,01:49.30,03:40.48,05:34.25,07:30.76,4,
2001,m4+,予選E組,25,4,大同工業大学,01:47.50,03:41.21,05:38.95,07:36.21,1,
2001,m4+,予選E組,25,5,福山大学,01:51.65,03:45.55,05:41.10,07:36.93,5,
2001,m4+,予選F組,26,1,東京経済大学,01:41.62,03:29.58,05:18.84,07:03.92,1,->Semi-Final
2001,m4+,予選F組,26,2,新潟大学,01:47.11,03:37.27,05:27.70,07:17.06,2,
2001,m4+,予選F組,26,3,静岡大学,01:54.49,03:51.05,05:46.84,07:42.58,4,
2001,m4+,予選F組,26,4,徳島大学,01:50.37,03:48.86,05:49.20,07:47.67,3,
2001,m4+,予選F組,26,5,大阪工業大学,01:59.83,04:00.79,06:00.81,07:59.68,5,
2001,m4+,予選G組,27,1,東北大学,01:46.42,03:33.74,05:24.81,07:15.83,2,->Semi-Final
2001,m4+,予選G組,27,2,滋賀大学経済学部,01:50.40,03:40.88,05:33.89,07:27.83,3,
2001,m4+,予選G組,27,3,防衛大学校,01:49.80,03:40.71,05:35.46,07:31.80,5,
2001,m4+,予選G組,27,4,福島県立医科大学,01:50.13,03:44.78,05:45.40,07:44.46,1,
2001,m4+,予選G組,27,5,岩手大学,01:57.51,03:55.56,05:57.66,07:58.84,4,
2001,m4+,予選H組,28,1,日本大学,01:38.13,03:23.50,05:12.46,06:57.47,1,->Semi-Final
2001,m4+,予選H組,28,2,龍谷大学,01:40.08,03:27.45,05:15.12,06:57.68,2,
2001,m4+,予選H組,28,3,明治大学,01:44.63,03:34.14,05:24.54,07:15.31,4,
2001,m4+,予選H組,28,4,岡山大学,01:46.01,03:37.38,05:32.90,07:28.61,5,
2001,m4+,予選H組,28,5,成城大学,01:53.35,03:57.45,06:03.15,08:09.47,3,
2001,m4+,敗復A組,80,1,新潟大学,01:45.82,03:35.56,05:25.63,07:16.97,3,->Semi-Final
2001,m4+,敗復A組,80,2,北海道大学,01:48.69,03:38.52,05:30.89,07:22.88,4,
2001,m4+,敗復A組,80,3,福山大学,01:49.28,03:45.44,05:43.92,07:43.94,2,
2001,m4+,敗復A組,80,4,熊本大学,01:54.58,03:51.41,05:48.63,07:50.51,5,
2001,m4+,敗復B組,81,1,明治大学,01:42.61,03:34.99,05:28.72,07:18.19,3,->Semi-Final
2001,m4+,敗復B組,81,2,東京商船大学,01:43.72,03:35.49,05:29.98,07:18.69,4,
2001,m4+,敗復B組,81,3,大同工業大学,01:47.91,03:43.00,05:40.28,07:34.16,2,
2001,m4+,敗復B組,81,4,静岡大学,01:51.64,03:48.40,05:47.89,07:45.07,5,
2001,m4+,敗復C組,82,1,九州大学,01:47.94,03:39.67,05:32.15,07:26.30,3,->Semi-Final
2001,m4+,敗復C組,82,2,大阪市立大学,01:48.15,03:40.83,05:33.86,07:27.87,4,
2001,m4+,敗復C組,82,3,防衛大学校,01:49.94,03:41.37,05:34.84,07:32.08,2,
2001,m4+,敗復C組,82,4,福島県立医科大学,01:45.44,03:40.43,05:39.08,07:42.56,5,
2001,m4+,敗復D組,83,1,富山国際大学,01:42.30,03:33.01,05:27.04,07:20.38,4,->Semi-Final
2001,m4+,敗復D組,83,2,一橋大学,01:43.90,03:38.14,05:34.93,07:28.81,3,
2001,m4+,敗復D組,83,3,大阪大学,01:48.42,03:45.30,05:45.65,07:41.76,2,
2001,m4+,敗復D組,83,4,埼玉大学,01:46.37,03:42.58,05:46.71,07:48.21,5,
2001,m4+,敗復E組,84,1,関西学院大学,01:44.21,03:35.10,05:30.32,07:23.90,4,->Semi-Final
2001,m4+,敗復E組,84,2,筑波大学,01:44.07,03:36.62,05:32.37,07:24.30,3,
2001,m4+,敗復E組,84,3,南山大学,01:46.69,03:39.00,05:37.04,07:30.03,2,
2001,m4+,敗復E組,84,4,徳島大学,01:47.05,03:42.67,05:45.17,07:45.20,5,
2001,m4+,敗復F組,85,1,同志社大学,01:45.66,03:34.88,05:23.18,07:12.45,3,->Semi-Final
2001,m4+,敗復F組,85,2,成蹊大学,01:47.65,03:37.70,05:29.01,07:20.50,4,
2001,m4+,敗復F組,85,3,滋賀大学教育学部,01:50.97,03:45.46,05:41.22,07:38.76,2,
2001,m4+,敗復F組,85,4,山口大学,01:52.34,03:50.21,05:51.61,07:52.28,5,
2001,m4+,敗復G組,86,1,法政大学,01:40.34,03:29.77,05:21.21,07:13.90,3,->Semi-Final
2001,m4+,敗復G組,86,2,東海大学,01:45.30,03:39.70,05:36.09,07:33.06,4,
2001,m4+,敗復G組,86,3,岡山大学,01:48.50,03:43.13,05:40.84,07:35.97,2,
2001,m4+,敗復G組,86,4,成城大学,01:51.82,03:49.98,05:52.38,07:55.87,1,
2001,m4+,敗復G組,86,5,岩手大学,01:52.43,03:55.13,06:02.36,08:05.97,5,
2001,m4+,敗復H組,87,1,龍谷大学,01:41.04,03:29.51,05:20.47,07:09.00,3,->Semi-Final
2001,m4+,敗復H組,87,2,滋賀大学経済学部,01:47.93,03:39.63,05:36.50,07:29.85,2,
2001,m4+,敗復H組,87,3,鳥取大学,01:40.54,03:39.96,05:36.91,07:32.44,4,
2001,m4+,敗復H組,87,4,大阪工業大学,01:59.02,04:04.38,06:08.04,08:07.08,5,
2001,m4+,敗復H組,87,5,杏林大学,01:57.16,04:00.65,06:06.30,08:11.08,1,
2001,m4+,準決A組,129,1,東京経済大学,01:35.37,03:16.58,04:59.65,06:40.76,4,->Final A
2001,m4+,準決A組,129,2,龍谷大学,01:37.17,03:19.59,05:02.84,06:44.76,2,->Final B
2001,m4+,準決A組,129,3,立教大学,01:38.68,03:20.24,05:05.58,06:48.94,3,
2001,m4+,準決A組,129,4,九州大学,01:43.99,03:33.18,05:20.47,07:04.76,5,
2001,m4+,準決B組,130,1,立命館大学,01:38.02,03:20.44,05:04.16,06:43.09,3,->Final A
2001,m4+,準決B組,130,2,同志社大学,01:41.01,03:22.98,05:07.14,06:45.39,2,->Final B
2001,m4+,準決B組,130,3,広島大学,01:38.52,03:22.75,05:06.98,06:51.94,4,
2001,m4+,準決B組,130,4,関西学院大学,01:42.71,03:31.59,05:22.74,07:14.90,5,
2001,m4+,準決C組,131,1,日本大学,01:41.53,03:25.04,05:10.27,06:50.55,3,->Final A
2001,m4+,準決C組,131,2,早稲田大学,01:40.86,03:26.07,05:12.64,06:53.78,4,->Final B
2001,m4+,準決C組,131,3,法政大学,01:38.86,03:23.50,05:10.69,06:54.08,2,
2001,m4+,準決C組,131,4,富山国際大学,01:42.81,03:27.59,05:14.74,06:59.88,5,
2001,m4+,準決D組,132,1,中央大学,01:35.63,03:16.96,05:00.38,06:39.18,3,->Final A
2001,m4+,準決D組,132,2,東北大学,01:39.40,03:25.00,05:13.08,06:57.10,4,->Final B
2001,m4+,準決D組,132,3,新潟大学,01:41.65,03:28.24,05:16.05,06:59.69,2,
2001,m4+,準決D組,132,4,明治大学,01:43.30,03:30.77,05:18.28,07:05.63,5,
2001,m4+,順決,172,1,龍谷大学,01:38.76,03:23.44,05:10.56,06:53.68,3,
2001,m4+,順決,172,2,同志社大学,01:41.80,03:26.04,05:13.16,06:54.07,4,
2001,m4+,順決,172,3,早稲田大学,01:41.54,03:25.46,05:12.80,06:58.75,2,
2001,m4+,順決,172,4,東北大学,01:40.57,03:27.26,05:15.25,07:03.44,5,
2001,m4+,決勝,173,1,中央大学,01:36.55,03:18.98,05:02.95,06:44.08,3,
2001,m4+,決勝,173,2,東京経済大学,01:37.75,03:21.20,05:05.67,06:46.93,4,
2001,m4+,決勝,173,3,日本大学,01:40.15,03:24.11,05:08.83,06:53.49,5,
2001,m4+,決勝,173,4,立命館大学,01:41.28,03:27.39,05:13.60,06:57.37,2,
2001,w4+,予選A組,17,1,鹿屋体育大学,01:53.53,03:49.87,05:47.91,07:45.85,4,->Semi-Final
2001,w4+,予選A組,17,2,近畿大学,01:55.82,03:55.24,05:58.26,07:56.88,3,
2001,w4+,予選A組,17,3,筑波大学,01:54.15,03:52.82,05:56.47,07:59.72,5,
2001,w4+,予選A組,17,4,山口大学,01:56.67,03:59.90,06:07.20,08:11.94,2,
2001,w4+,予選A組,17,5,東京水産大学,02:02.08,04:06.82,06:13.07,08:18.18,1,
2001,w4+,予選B組,18,1,北海道大学,01:52.37,03:48.05,05:46.54,07:44.19,4,->Semi-Final
2001,w4+,予選B組,18,2,岡山大学,02:00.15,04:01.63,06:03.49,08:05.51,1,
2001,w4+,予選B組,18,3,愛知教育大学,02:05.10,04:12.53,06:21.17,08:31.01,3,
2001,w4+,予選B組,18,4,埼玉大学,02:05.97,04:17.22,06:35.26,08:52.61,5,
2001,w4+,予選B組,18,5,南山大学,02:07.87,04:19.88,06:37.14,08:52.87,2,
2001,w4+,予選C組,19,1,龍谷大学,01:50.56,03:46.55,05:39.95,07:37.51,3,->Semi-Final
2001,w4+,予選C組,19,2,日本体育大学,01:55.38,03:51.77,05:49.34,07:49.94,5,
2001,w4+,予選C組,19,3,滋賀大学教育学部,01:58.15,03:58.99,06:00.81,08:03.17,4,
2001,w4+,予選C組,19,4,関西大学,02:03.41,04:08.14,06:13.66,08:15.04,1,
2001,w4+,予選C組,19,5,岩手大学,02:03.18,04:13.01,06:22.74,08:34.61,2,
2001,w4+,予選D組,20,1,神戸大学,01:56.10,03:55.61,05:55.14,07:55.48,5,->Semi-Final
2001,w4+,予選D組,20,2,東京経済大学,01:59.79,04:05.06,06:08.88,08:11.94,3,
2001,w4+,予選D組,20,3,島根大学,01:59.52,04:05.74,06:11.85,08:18.26,4,
2001,w4+,予選D組,20,4,熊本大学,02:04.99,04:11.66,06:25.44,08:36.05,2,
2001,w4+,敗復A組,76,1,滋賀大学教育学部,02:07.10,04:15.16,06:24.64,08:31.44,3,->Semi-Final
2001,w4+,敗復A組,76,2,岡山大学,02:06.54,04:14.51,06:22.87,08:31.78,4,
2001,w4+,敗復A組,76,3,岩手大学,02:13.51,04:30.54,06:46.49,09:02.84,2,
2001,w4+,敗復A組,76,4,熊本大学,02:15.13,04:30.39,06:47.03,09:07.44,5,
2001,w4+,敗復B組,77,1,筑波大学,01:59.80,04:06.05,06:19.22,08:27.75,3,->Semi-Final
2001,w4+,敗復B組,77,2,山口大学,02:00.66,04:08.91,06:25.86,08:34.95,4,
2001,w4+,敗復B組,77,3,愛知教育大学,02:09.21,04:23.18,06:42.23,08:55.05,2,
2001,w4+,敗復B組,77,4,埼玉大学,02:14.35,04:35.18,07:02.23,09:22.45,5,
2001,w4+,敗復C組,78,1,近畿大学,02:04.14,04:09.70,06:17.32,08:23.06,3,->Semi-Final
2001,w4+,敗復C組,78,2,東京経済大学,02:03.96,04:09.88,06:18.91,08:27.75,4,
2001,w4+,敗復C組,78,3,島根大学,02:07.70,04:20.01,06:33.88,08:49.34,2,
2001,w4+,敗復C組,78,4,南山大学,02:22.41,04:48.43,07:18.89,09:43.54,5,
2001,w4+,敗復D組,79,1,日本体育大学,02:00.70,04:03.84,06:06.64,08:09.11,3,->Semi-Final
2001,w4+,敗復D組,79,2,関西大学,02:07.53,04:24.71,06:27.90,08:36.29,4,
2001,w4+,敗復D組,79,3,東京水産大学,02:10.72,04:17.96,06:37.75,08:50.86,2,
2001,w4+,準決A組,127,1,鹿屋体育大学,01:53.75,03:49.86,05:44.81,07:38.74,4,->Final A
2001,w4+,準決A組,127,2,北海道大学,01:53.96,03:50.04,05:46.56,07:39.80,3,->Final A
2001,w4+,準決A組,127,3,日本体育大学,01:53.55,03:48.39,05:45.00,07:40.98,2,->Final B
2001,w4+,準決A組,127,4,滋賀大学教育学部,01:55.96,03:56.59,05:58.34,07:57.98,5,->Final B
2001,w4+,準決B組,128,1,龍谷大学,01:49.13,03:40.96,05:38.70,07:32.41,3,->Final A
2001,w4+,準決B組,128,2,神戸大学,01:53.27,03:47.30,05:46.20,07:43.08,4,->Final A
2001,w4+,準決B組,128,3,近畿大学,01:52.89,03:50.69,05:52.04,07:51.07,2,->Final B
2001,w4+,準決B組,128,4,筑波大学,01:55.64,03:55.77,05:59.79,08:03.30,5,->Final B
2001,w4+,順決,170,1,日本体育大学,01:57.30,03:56.84,05:56.95,07:56.36,3,
2001,w4+,順決,170,2,近畿大学,01:59.70,04:03.24,06:06.64,08:07.05,4,
2001,w4+,順決,170,3,滋賀大学教育学部,01:59.49,04:02.74,06:05.32,08:07.25,2,
2001,w4+,順決,170,4,筑波大学,02:00.01,04:02.98,06:10.02,08:17.30,5,
2001,w4+,決勝,171,1,龍谷大学,01:52.68,03:48.95,05:45.32,07:42.28,3,
2001,w4+,決勝,171,2,鹿屋体育大学,01:57.72,03:56.58,05:54.20,07:49.84,4,
2001,w4+,決勝,171,3,北海道大学,01:57.14,03:53.59,05:52.54,07:49.95,2,
2001,w4+,決勝,171,4,神戸大学,01:57.92,03:58.30,05:59.35,07:58.64,5,
2001,m2x,予選A組,7,1,江戸川大学,01:37.33,03:20.16,05:05.09,06:50.60,1,->Semi-Final
2001,m2x,予選A組,7,2,鹿屋体育大学,01:38.40,03:21.86,05:09.41,06:55.13,5,
2001,m2x,予選A組,7,3,東京工業大学,01:45.77,03:36.84,05:29.84,07:24.19,3,
2001,m2x,予選A組,7,4,南山大学,01:48.36,03:41.77,05:36.94,07:33.89,6,
2001,m2x,予選A組,7,5,東京大学,01:49.27,03:46.09,05:42.51,07:47.21,4,
2001,m2x,予選A組,7,6,小樽商科大学,01:54.40,03:56.64,06:00.99,08:06.32,2,
2001,m2x,予選B組,8,1,中央大学,01:38.94,03:19.27,05:03.40,06:49.84,4,->Semi-Final
2001,m2x,予選B組,8,2,東京医科歯科大学,01:39.85,03:25.08,05:12.84,07:00.44,6,
2001,m2x,予選B組,8,3,金沢大学,01:42.69,03:26.64,05:14.59,07:02.95,5,
2001,m2x,予選B組,8,4,早稲田大学,01:43.23,03:31.17,05:21.91,07:11.76,1,
2001,m2x,予選B組,8,5,東海大学,01:42.01,03:27.94,05:20.57,07:12.76,2,
2001,m2x,予選B組,8,6,弘前大学,02:00.24,04:05.34,06:10.94,08:15.80,3,
2001,m2x,予選C組,9,1,東北学院大学,01:39.83,03:28.10,05:19.36,07:11.32,1,->Semi-Final
2001,m2x,予選C組,9,2,大阪府立大学,01:48.30,03:36.48,05:26.10,07:15.41,6,
2001,m2x,予選C組,9,3,名古屋大学,01:45.52,03:37.34,05:27.15,07:16.24,2,
2001,m2x,予選C組,9,4,東京経済大学,01:46.68,03:37.12,05:28.64,07:18.19,3,
2001,m2x,予選C組,9,5,東京商船大学,01:48.84,03:39.79,05:29.86,07:20.28,4,
2001,m2x,予選C組,9,6,静岡産業大学,01:47.37,03:40.90,05:39.86,07:39.58,5,
2001,m2x,予選D組,10,1,日本大学,01:37.11,03:24.60,05:14.44,07:07.04,4,->Semi-Final
2001,m2x,予選D組,10,2,兵庫大学,01:40.42,03:31.78,05:23.19,07:15.76,2,
2001,m2x,予選D組,10,3,北海道大学水産学部,01:45.14,03:38.05,05:28.76,07:21.19,1,
2001,m2x,予選D組,10,4,千葉大学,01:45.58,03:39.94,05:31.37,07:26.36,5,
2001,m2x,予選D組,10,5,広島大学,01:44.25,03:39.03,05:35.28,07:35.85,6,
2001,m2x,予選D組,10,6,防衛大学校,01:46.76,03:42.96,05:40.56,07:36.84,3,
2001,m2x,予選E組,11,1,一橋大学,01:43.29,03:30.43,05:23.32,07:12.41,5,->Semi-Final
2001,m2x,予選E組,11,2,愛知工業大学,01:44.93,03:34.51,05:29.06,07:18.30,4,
2001,m2x,予選E組,11,3,茨城大学,01:45.10,03:32.40,05:28.20,07:20.71,3,
2001,m2x,予選E組,11,4,成蹊大学,01:46.54,03:37.55,05:32.46,07:28.94,6,
2001,m2x,予選E組,11,5,名古屋工業大学,01:48.15,03:40.98,05:39.36,07:35.74,2,
2001,m2x,予選E組,11,6,福島大学,01:48.49,03:43.74,05:44.89,07:45.09,1,
2001,m2x,予選F組,12,1,明治大学,01:36.74,03:17.86,05:00.09,06:44.20,5,->Semi-Final
2001,m2x,予選F組,12,2,日本体育大学,01:35.22,03:17.66,05:01.54,06:48.51,4,
2001,m2x,予選F組,12,3,北海道大学,01:42.02,03:29.88,05:18.55,07:09.01,6,
2001,m2x,予選F組,12,4,東京都立大学,01:42.58,03:32.38,05:25.01,07:21.58,1,
2001,m2x,予選F組,12,5,鳥取大学,01:51.74,03:50.00,05:50.35,07:48.85,2,
2001,m2x,予選F組,12,6,福山大学,01:56.36,04:02.24,06:06.24,08:10.98,3,
2001,m2x,予選G組,13,1,立命館大学,01:38.10,03:22.40,05:10.06,07:01.49,1,->Semi-Final
2001,m2x,予選G組,13,2,学習院大学,01:44.06,03:32.77,05:23.84,07:12.93,4,
2001,m2x,予選G組,13,3,京都大学,01:41.96,03:33.45,05:26.24,07:15.76,5,
2001,m2x,予選G組,13,4,広島修道大学,01:48.34,03:38.17,05:27.78,07:17.60,6,
2001,m2x,予選G組,13,5,中京大学,01:49.23,03:42.73,05:36.41,07:33.71,2,
2001,m2x,予選G組,13,6,松山大学,01:52.50,03:54.57,06:00.16,07:57.40,3,
2001,m2x,予選H組,14,1,島根大学,01:40.50,03:28.26,05:16.70,07:06.34,3,->Semi-Final
2001,m2x,予選H組,14,2,立教大学,01:42.66,03:29.67,05:22.16,07:16.79,4,
2001,m2x,予選H組,14,3,成城大学,01:51.31,03:46.89,05:42.84,07:36.76,5,
2001,m2x,予選H組,14,4,追手門学院大学,01:47.01,03:43.17,05:41.95,07:44.66,1,
2001,m2x,予選H組,14,5,甲南大学,01:50.06,03:47.44,05:53.38,07:53.56,2,
2001,m2x,敗復A組,66,1,学習院大学,01:50.01,03:45.30,05:43.94,07:37.62,3,->Semi-Final
2001,m2x,敗復A組,66,2,大阪府立大学,01:52.72,03:49.38,05:45.33,07:38.36,4,
2001,m2x,敗復A組,66,3,中京大学,01:56.30,03:57.20,05:59.28,07:59.21,2,
2001,m2x,敗復A組,66,4,南山大学,01:55.42,03:58.40,06:01.06,08:04.67,5,
2001,m2x,敗復B組,67,1,兵庫大学,01:50.77,03:46.85,05:43.61,07:32.84,4,->Semi-Final
2001,m2x,敗復B組,67,2,東海大学,01:49.52,03:44.35,05:42.23,07:33.16,3,
2001,m2x,敗復B組,67,3,名古屋工業大学,01:56.02,03:56.08,05:56.61,07:56.48,5,
2001,m2x,敗復B組,67,4,成蹊大学,01:58.77,03:59.60,06:02.05,08:00.16,2,
2001,m2x,敗復B組,67,5,弘前大学,01:59.20,04:02.54,06:07.14,08:11.22,1,
2001,m2x,敗復C組,68,1,早稲田大学,01:48.95,03:42.80,05:37.80,07:34.10,3,->Semi-Final
2001,m2x,敗復C組,68,2,千葉大学,01:53.53,03:51.06,05:44.74,07:44.09,2,
2001,m2x,敗復C組,68,3,京都大学,01:47.33,03:45.17,05:45.84,07:49.11,4,
2001,m2x,敗復C組,68,4,広島大学,01:57.95,03:57.49,06:05.24,08:18.06,5,
2001,m2x,敗復C組,68,5,福山大学,02:02.44,04:09.30,06:17.15,08:29.83,1,
2001,m2x,敗復D組,69,1,北海道大学,01:49.01,03:44.32,05:39.78,07:35.29,3,->Semi-Final
2001,m2x,敗復D組,69,2,東京工業大学,01:54.67,03:53.13,05:49.85,07:48.06,2,
2001,m2x,敗復D組,69,3,成城大学,01:59.95,04:02.43,06:00.85,08:00.89,5,
2001,m2x,敗復D組,69,4,小樽商科大学,02:02.68,04:05.50,06:10.08,08:16.51,1,
2001,m2x,敗復E組,70,1,金沢大学,01:49.84,03:43.43,05:37.62,07:28.91,3,->Semi-Final
2001,m2x,敗復E組,70,2,東京都立大学,01:47.18,03:40.68,05:35.75,07:32.06,2,
2001,m2x,敗復E組,70,3,立教大学,01:49.31,03:45.53,05:45.69,07:47.34,4,
2001,m2x,敗復E組,70,4,防衛大学校,01:56.49,03:57.50,06:01.35,08:02.86,5,
2001,m2x,敗復E組,70,5,松山大学,01:56.11,04:02.40,06:08.11,08:10.50,1,
2001,m2x,敗復F組,71,1,東京医科歯科大学,01:45.24,03:39.89,05:35.04,07:29.87,3,->Semi-Final
2001,m2x,敗復F組,71,2,北海道大学水産学部,01:54.14,03:52.52,05:55.87,07:51.15,2,
2001,m2x,敗復F組,71,3,広島修道大学,01:53.99,03:54.19,05:54.01,07:55.54,4,
2001,m2x,敗復F組,71,4,静岡産業大学,01:53.14,03:56.72,06:02.67,08:08.05,5,
2001,m2x,敗復F組,71,5,甲南大学,01:55.90,03:59.82,06:05.91,08:10.26,1,
2001,m2x,敗復G組,72,1,鹿屋体育大学,01:45.41,03:40.64,05:38.39,07:34.30,3,->Semi-Final
2001,m2x,敗復G組,72,2,東京経済大学,01:53.50,03:55.78,05:55.91,07:53.92,4,
2001,m2x,敗復G組,72,3,鳥取大学,01:52.07,03:53.82,05:56.78,07:59.98,1,
2001,m2x,敗復G組,72,4,茨城大学,01:53.81,04:05.23,05:58.80,08:01.88,2,
2001,m2x,敗復G組,72,5,追手門学院大学,01:55.65,03:57.23,06:14.16,08:19.94,5,
2001,m2x,敗復H組,73,1,日本体育大学,01:43.12,03:34.59,05:28.45,07:19.76,3,->Semi-Final
2001,m2x,敗復H組,73,2,東京商船大学,01:57.35,03:57.12,05:58.06,07:55.34,2,
2001,m2x,敗復H組,73,3,愛知工業大学,01:52.44,03:51.18,05:53.49,07:56.20,4,
2001,m2x,敗復H組,73,4,東京大学,01:55.16,03:58.10,06:06.26,08:11.98,1,
2001,m2x,敗復H組,73,5,福島大学,02:00.02,04:04.01,06:09.47,08:13.36,5,
2001,m2x,準決A組,137,1,日本体育大学,01:40.11,03:25.53,05:15.44,07:04.98,2,->Final A
2001,m2x,準決A組,137,2,立命館大学,01:42.74,03:28.79,05:21.31,07:18.55,3,->Final B
2001,m2x,準決A組,137,3,島根大学,01:44.27,03:37.27,05:32.84,07:26.31,4,
2001,m2x,準決A組,137,4,学習院大学,01:46.24,03:40.06,05:36.57,07:29.24,5,
2001,m2x,準決B組,138,1,日本大学,01:42.81,03:30.78,05:19.44,07:05.36,4,->Final A
2001,m2x,準決B組,138,2,江戸川大学,01:40.66,03:28.24,05:17.58,07:05.74,3,->Final B
2001,m2x,準決B組,138,3,北海道大学,01:45.81,03:36.96,05:29.48,07:24.01,5,
2001,m2x,準決B組,138,4,金沢大学,01:49.07,03:41.18,05:32.80,07:27.00,2,
2001,m2x,準決C組,139,1,鹿屋体育大学,01:42.13,03:28.98,05:18.94,07:12.26,5,->Final A
2001,m2x,準決C組,139,2,東京医科歯科大学,01:42.49,03:30.46,05:24.28,07:17.06,2,->Final B
2001,m2x,準決C組,139,3,中央大学,01:44.38,03:32.34,05:24.74,07:17.63,3,
2001,m2x,準決C組,139,4,東北学院大学,01:42.88,03:33.98,05:33.28,07:35.90,4,
2001,m2x,準決D組,140,1,明治大学,01:40.47,03:34.11,05:29.24,07:25.26,3,->Final A
2001,m2x,準決D組,140,2,早稲田大学,01:46.83,03:42.46,05:38.28,07:31.84,5,->Final B
2001,m2x,準決D組,140,3,一橋大学,01:48.70,03:46.30,05:43.48,07:41.89,4,
2001,m2x,準決D組,140,4,兵庫大学,01:49.22,03:50.11,05:49.41,07:46.40,2,
2001,m2x,順決,176,1,江戸川大学,01:39.51,03:25.26,05:13.42,06:58.89,3,
2001,m2x,順決,176,2,立命館大学,01:41.07,03:27.35,05:15.47,07:03.76,2,
2001,m2x,順決,176,3,早稲田大学,01:46.38,03:34.94,05:22.93,07:08.76,5,
2001,m2x,順決,176,4,東京医科歯科大学,01:45.82,03:33.47,05:21.08,07:09.08,4,
2001,m2x,決勝,177,1,明治大学,01:39.81,03:25.14,05:11.14,06:53.61,5,
2001,m2x,決勝,177,2,日本体育大学,01:38.89,03:23.88,05:11.29,06:55.11,3,
2001,m2x,決勝,177,3,鹿屋体育大学,01:41.19,03:25.84,05:14.08,07:03.82,2,
2001,m2x,決勝,177,4,日本大学,01:43.36,03:31.84,05:21.10,07:09.80,4,
2001,w2x,予選A組,1,1,立教大学,01:51.41,03:46.48,05:43.14,07:39.58,5,->Semi-Final
2001,w2x,予選A組,1,2,慶應義塾大学,01:56.66,03:55.82,05:55.99,07:57.26,3,
2001,w2x,予選A組,1,3,山口大学,02:03.91,04:13.44,06:23.24,08:31.90,2,
2001,w2x,予選A組,1,4,北海道大学,02:28.68,04:33.64,06:36.68,08:38.80,1,
2001,w2x,予選A組,1,5,南山大学,02:07.96,04:19.32,06:33.35,08:43.70,6,
2001,w2x,予選A組,1,6,愛媛大学,02:04.14,04:18.67,06:36.44,08:53.04,4,
2001,w2x,予選B組,2,1,鹿屋体育大学,01:49.80,04:02.99,05:41.71,07:40.06,6,->Semi-Final
2001,w2x,予選B組,2,2,東京商船大学,01:51.26,03:21.57,05:49.86,07:45.18,3,
2001,w2x,予選B組,2,3,神戸大学,02:00.42,04:00.24,05:58.20,07:55.10,1,
2001,w2x,予選B組,2,4,滋賀大学教育学部,01:57.20,04:21.99,06:08.44,08:10.42,5,
2001,w2x,予選B組,2,5,名古屋大学,01:56.83,04:02.14,06:07.90,08:12.18,2,
2001,w2x,予選B組,2,6,中京大学,02:16.83,03:51.57,06:50.22,09:06.97,4,
2001,w2x,予選C組,3,1,東海大学,01:52.77,03:50.77,05:51.77,07:53.05,5,->Semi-Final
2001,w2x,予選C組,3,2,京都大学,01:57.12,03:57.64,05:59.85,08:01.44,2,
