year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
2000,m4+,敗復E組,69,3,慶應義塾大学,01:44.80,03:31.79,05:19.98,07:10.34,2,
2000,m4+,敗復E組,69,4,南山大学,01:51.02,03:41.34,05:34.38,07:23.90,5,
2000,m4+,敗復F組,70,1,岡山大学,01:41.63,03:28.60,05:15.14,06:57.90,3,->Semi-Final
2000,m4+,敗復F組,70,2,防衛大学校,01:42.38,03:30.40,05:18.54,07:04.41,4,
2000,m4+,敗復F組,70,3,島根大学,01:44.77,03:32.52,05:21.64,07:07.50,2,
2000,m4+,敗復F組,70,4,福島大学,01:51.06,03:45.41,05:37.44,07:33.73,5,
2000,m4+,敗復F組,70,5,福山大学,01:50.66,03:48.70,05:48.76,07:48.03,1,
2000,m4+,敗復G組,71,1,立教大学,01:40.45,03:23.29,05:09.01,06:52.41,3,->Semi-Final
2000,m4+,敗復G組,71,2,日本大学,01:39.82,03:25.81,05:11.55,06:55.44,4,
2000,m4+,敗復G組,71,3,成城大学,01:43.48,03:28.36,05:14.66,07:00.99,2,
2000,m4+,敗復G組,71,4,杏林大学,01:50.73,03:47.31,05:45.09,07:37.84,5,
2000,m4+,敗復G組,71,5,名古屋市立大学,01:51.93,03:46.50,05:43.99,07:38.40,1,
2000,m4+,敗復H組,72,1,法政大学,01:37.20,03:19.51,05:06.93,06:55.48,3,->Semi-Final
2000,m4+,敗復H組,72,2,滋賀大学経済学部,01:41.41,03:29.50,05:19.84,07:10.65,4,
2000,m4+,敗復H組,72,3,鳥取大学,01:42.16,03:30.59,05:23.43,07:14.44,2,
2000,m4+,敗復H組,72,4,石巻専修大学,01:48.86,03:40.20,05:31.36,07:23.35,5,
2000,m4+,敗復H組,72,5,静岡大学,01:46.78,03:37.28,05:30.66,07:25.08,1,
2000,m4+,準決A組,129,1,龍谷大学,01:44.48,03:30.74,05:15.17,06:57.19,3,->Final A
2000,m4+,準決A組,129,2,立教大学,01:45.18,03:32.09,05:16.74,07:00.20,2,->Final B
2000,m4+,準決A組,129,3,埼玉大学,01:46.13,03:32.50,05:20.68,07:08.25,5,
2000,m4+,準決A組,129,4,東北大学,01:43.44,03:30.58,05:20.91,07:11.54,4,
2000,m4+,準決B組,130,1,明治大学,01:42.46,03:28.18,05:15.06,06:57.58,3,->Final A
2000,m4+,準決B組,130,2,法政大学,01:41.46,03:26.64,05:15.30,07:00.26,2,->Final B
2000,m4+,準決B組,130,3,東海大学,01:45.37,03:33.57,05:21.06,07:07.23,4,
2000,m4+,準決B組,130,4,成蹊大学,01:44.38,03:31.70,05:22.26,07:11.95,5,
2000,m4+,準決C組,131,1,東京経済大学,01:41.61,03:30.46,05:18.43,07:03.41,3,->Final A
2000,m4+,準決C組,131,2,北海道大学,01:40.42,03:30.29,05:21.21,07:09.44,5,->Final B
2000,m4+,準決C組,131,3,神戸大学,01:46.36,03:35.04,05:24.43,07:10.15,4,
2000,m4+,準決C組,131,4,一橋大学,01:44.74,03:36.09,05:24.58,07:10.62,2,
2000,m4+,準決D組,132,1,中央大学,01:39.05,03:22.38,05:11.88,07:00.41,3,->Final A
2000,m4+,準決D組,132,2,東北学院大学,01:40.62,03:27.46,05:18.20,07:06.53,5,->Final B
2000,m4+,準決D組,132,3,岡山大学,01:43.87,03:30.71,05:21.28,07:07.93,2,
2000,m4+,準決D組,132,4,東京大学,01:43.06,03:31.00,05:28.30,07:24.57,4,
2000,m4+,順決,168,1,法政大学,01:36.10,03:16.98,05:00.57,06:42.70,4,
2000,m4+,順決,168,2,立教大学,01:40.22,03:23.87,05:06.29,06:48.44,3,
2000,m4+,順決,168,3,北海道大学,01:38.40,03:19.34,05:04.49,06:50.37,5,
2000,m4+,順決,168,4,東北学院大学,01:38.70,03:23.57,05:08.55,06:50.78,2,
2000,m4+,決勝,169,1,中央大学,01:33.82,03:09.86,04:49.16,06:27.18,2,
2000,m4+,決勝,169,2,明治大学,01:37.18,03:18.06,04:58.27,06:34.99,4,
2000,m4+,決勝,169,3,龍谷大学,01:36.88,03:15.10,04:58.05,06:35.66,3,
2000,m4+,決勝,169,4,東京経済大学,01:36.66,03:15.94,04:58.49,06:35.88,5,
2000,w4+,予選A組,1,1,龍谷大学,01:51.12,03:47.54,05:46.01,07:42.08,4,->Semi-Final
2000,w4+,予選A組,1,2,東京外国語大学,01:58.01,03:58.40,06:00.76,07:58.91,1,
2000,w4+,予選A組,1,3,法政大学,01:59.69,04:02.98,06:05.77,08:07.00,2,
2000,w4+,予選A組,1,4,滋賀大学教育学部,02:01.44,04:04.74,06:09.61,08:11.18,3,
2000,w4+,予選A組,1,5,島根大学,02:06.49,04:22.30,06:40.01,08:54.37,5,
2000,w4+,予選B組,2,1,神戸大学,01:55.52,03:53.66,05:53.92,07:53.33,3,->Semi-Final
2000,w4+,予選B組,2,2,北海道大学,01:54.58,03:53.45,05:54.91,07:55.61,2,
2000,w4+,予選B組,2,3,東北学院大学,02:00.46,04:04.60,06:11.56,08:18.59,1,
2000,w4+,予選B組,2,4,近畿大学,02:00.71,04:07.21,06:15.78,08:22.47,5,
2000,w4+,予選B組,2,5,岡山大学,02:03.18,04:11.12,06:21.10,08:31.09,4,
2000,w4+,予選C組,3,1,鹿屋体育大学,01:55.39,03:55.04,05:56.97,07:56.84,5,->Semi-Final
2000,w4+,予選C組,3,2,関西大学,02:03.21,04:10.75,06:22.34,08:30.46,3,
2000,w4+,予選C組,3,3,南山大学,02:06.17,04:19.24,06:39.23,08:57.04,4,
2000,w4+,予選C組,3,4,愛知教育大学,02:11.10,04:27.30,06:48.53,09:01.68,2,
2000,w4+,予選D組,4,1,山口大学,01:58.99,04:02.45,06:10.50,08:16.99,4,->Semi-Final
2000,w4+,予選D組,4,2,香川大学,02:03.35,04:09.49,06:21.25,08:34.77,5,
2000,w4+,予選D組,4,3,岩手大学,02:07.06,04:18.04,06:32.85,08:49.18,2,
2000,w4+,予選D組,4,4,筑波大学,02:08.99,04:22.71,06:38.64,08:55.69,3,
2000,w4+,敗復A組,61,1,滋賀大学教育学部,01:58.23,03:54.89,05:57.91,07:59.04,3,->Semi-Final
2000,w4+,敗復A組,61,2,東北学院大学,01:56.32,03:55.25,06:02.80,08:06.64,4,
2000,w4+,敗復A組,61,3,南山大学,02:03.91,04:11.87,06:26.38,08:39.71,5,
2000,w4+,敗復A組,61,4,筑波大学,02:08.95,04:21.14,06:39.75,08:48.40,2,
2000,w4+,敗復B組,62,1,法政大学,01:57.34,03:57.16,05:58.60,08:00.11,3,->Semi-Final
2000,w4+,敗復B組,62,2,近畿大学,01:57.29,03:59.56,06:04.22,08:06.88,4,
2000,w4+,敗復B組,62,3,島根大学,02:02.92,04:10.77,06:22.27,08:34.85,2,
2000,w4+,敗復B組,62,4,愛知教育大学,02:08.21,04:20.68,06:33.24,08:39.44,5,
2000,w4+,敗復C組,63,1,東京外国語大学,01:56.32,03:53.41,05:51.21,07:49.67,3,->Semi-Final
2000,w4+,敗復C組,63,2,関西大学,02:00.26,04:04.10,06:08.09,08:09.51,4,
2000,w4+,敗復C組,63,3,岩手大学,02:04.41,04:12.38,06:22.48,08:30.46,2,
2000,w4+,敗復D組,64,1,北海道大学,01:54.17,03:50.71,05:47.59,07:41.94,3,->Semi-Final
2000,w4+,敗復D組,64,2,岡山大学,01:59.20,04:00.17,06:02.31,07:55.73,4,
2000,w4+,敗復D組,64,3,香川大学,02:02.71,04:07.99,06:13.51,07:57.29,2,
2000,w4+,準決A組,127,1,鹿屋体育大学,01:55.12,03:51.25,05:48.38,07:44.32,4,->Final A
2000,w4+,準決A組,127,2,北海道大学,01:55.66,03:50.93,05:48.58,07:44.64,2,->Final A
2000,w4+,準決A組,127,3,神戸大学,01:53.81,03:51.61,05:48.81,07:45.39,3,->Final B
2000,w4+,準決A組,127,4,法政大学,02:07.21,03:59.50,06:03.35,08:09.14,5,->Final B
2000,w4+,準決B組,128,1,龍谷大学,01:50.38,03:44.90,05:43.39,07:42.78,3,->Final A
2000,w4+,準決B組,128,2,東京外国語大学,01:56.97,03:55.44,05:57.12,07:55.28,2,->Final A
2000,w4+,準決B組,128,3,滋賀大学教育学部,01:59.82,04:01.10,06:06.34,08:05.99,5,->Final B
2000,w4+,準決B組,128,4,山口大学,01:59.15,04:02.35,06:06.44,08:06.23,4,->Final B
2000,w4+,順決,166,1,神戸大学,01:53.89,03:52.76,05:52.39,07:46.99,3,
2000,w4+,順決,166,2,滋賀大学教育学部,01:59.58,03:59.89,05:59.46,07:55.42,4,
2000,w4+,順決,166,3,法政大学,01:58.82,03:58.14,05:59.66,07:56.68,5,
2000,w4+,順決,166,4,山口大学,01:57.08,03:59.17,06:01.50,08:00.23,2,
2000,w4+,決勝,167,1,龍谷大学,01:47.26,03:40.46,05:34.52,07:29.47,3,
2000,w4+,決勝,167,2,鹿屋体育大学,01:52.70,03:48.92,05:45.35,07:39.98,4,
2000,w4+,決勝,167,3,北海道大学,01:50.16,03:48.35,05:46.64,07:42.92,2,
2000,w4+,決勝,167,4,東京外国語大学,01:54.06,03:51.28,05:49.24,07:43.87,5,
2000,m2x,予選A組,19,1,松山大学,01:48.23,03:45.05,05:44.55,07:44.12,2,->Semi-Final
2000,m2x,予選A組,19,2,弘前大学,01:54.01,03:55.05,05:56.06,07:58.99,3,
2000,m2x,予選A組,19,3,鳥取大学,01:58.72,04:02.40,06:06.24,08:11.52,4,
2000,m2x,予選A組,19,4,京都大学,02:02.47,04:02.60,06:07.94,08:16.49,5,
2000,m2x,予選A組,19,5,中京大学,01:59.17,04:02.78,06:12.74,08:24.54,6,
2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
2000,m2x,予選B組,20,1,北海道大学,01:46.42,03:38.35,05:34.94,07:30.24,3,->Semi-Final
2000,m2x,予選B組,20,2,兵庫大学,01:46.91,03:42.51,05:40.35,07:33.59,4,
2000,m2x,予選B組,20,3,同志社大学,01:47.35,03:41.24,05:39.00,07:35.37,5,
2000,m2x,予選B組,20,4,慶應義塾大学,01:54.72,03:52.44,05:53.88,07:55.74,1,
2000,m2x,予選B組,20,5,東北大学,01:57.15,03:57.86,05:59.85,08:03.55,6,
2000,m2x,予選B組,20,6,島根大学,02:00.01,04:07.47,06:15.94,08:22.63,2,
2000,m2x,予選C組,21,1,日本体育大学,01:46.98,03:37.24,05:28.77,07:20.14,1,->Semi-Final
2000,m2x,予選C組,21,2,立命館大学,01:45.32,03:36.25,05:31.48,07:29.08,2,
2000,m2x,予選C組,21,3,日本医科大学,01:53.57,03:47.02,05:44.13,07:41.86,5,
2000,m2x,予選C組,21,4,新潟大学,01:57.62,04:01.07,06:07.65,08:10.97,3,
2000,m2x,予選C組,21,5,東京外国語大学,02:09.00,04:18.79,06:34.63,08:44.69,4,
2000,m2x,予選C組,21,6,名古屋大学,02:11.86,04:27.46,06:46.23,09:03.06,6,
2000,m2x,予選D組,22,1,日本大学,01:42.17,03:31.40,05:22.58,07:17.92,3,->Semi-Final
2000,m2x,予選D組,22,2,鹿屋体育大学,01:49.71,03:44.95,05:42.59,07:40.87,6,
