,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
44,2015,全日本大学選手権大会,60,m4+,予選H組,3,東北大学,01:39.97,03:24.88,05:08.88,06:54.90,3,3
45,2015,全日本大学選手権大会,60,m4+,予選H組,5,金沢大学,01:41.74,03:29.51,05:17.48,07:07.05,4,5
46,2015,全日本大学選手権大会,60,m4+,予選H組,2,関西大学,01:43.10,03:34.24,05:26.75,07:17.85,5,2
47,2015,全日本大学選手権大会,60,m4+,予選H組,6,,,,,,,6
48,2015,全日本大学選手権大会,118,m4+,敗復A組,3,中央大学,01:40.53,03:24.30,05:09.86,06:56.58,1,3
49,2015,全日本大学選手権大会,118,m4+,敗復A組,4,慶應義塾大学,01:37.42,03:22.64,05:11.80,07:00.10,2,4
50,2015,全日本大学選手権大会,118,m4+,敗復A組,2,岐阜経済大学,01:42.96,03:30.50,05:17.57,07:09.78,3,2
51,2015,全日本大学選手権大会,118,m4+,敗復A組,5,大阪大学,01:45.17,03:35.08,05:23.98,07:12.53,4,5
52,2015,全日本大学選手権大会,118,m4+,敗復A組,1,,,,,,,1
53,2015,全日本大学選手権大会,118,m4+,敗復A組,6,,,,,,,6
54,2015,全日本大学選手権大会,119,m4+,敗復B組,3,大阪府立大学,01:44.68,03:31.51,05:17.50,07:04.00,1,3
55,2015,全日本大学選手権大会,119,m4+,敗復B組,4,茨城大学,01:43.20,03:30.83,05:19.68,07:06.61,2,4
56,2015,全日本大学選手権大会,119,m4+,敗復B組,2,関西学院大学,01:46.29,03:34.27,05:25.94,07:19.03,3,2
57,2015,全日本大学選手権大会,119,m4+,敗復B組,5,小樽商科大学,01:48.14,03:40.75,05:34.88,07:28.49,4,5
58,2015,全日本大学選手権大会,119,m4+,敗復B組,1,,,,,,,1
59,2015,全日本大学選手権大会,119,m4+,敗復B組,6,,,,,,,6
60,2015,全日本大学選手権大会,120,m4+,敗復C組,4,山口大学,01:39.60,03:26.69,05:12.14,06:58.52,1,4
61,2015,全日本大学選手権大会,120,m4+,敗復C組,3,名古屋大学,01:44.45,03:31.10,05:18.23,07:03.84,2,3
62,2015,全日本大学選手権大会,120,m4+,敗復C組,5,東京海洋大学,01:45.23,03:33.18,05:23.39,07:15.60,3,5
63,2015,全日本大学選手権大会,120,m4+,敗復C組,2,広島大学,01:48.04,03:39.84,05:30.44,07:18.85,4,2
64,2015,全日本大学選手権大会,120,m4+,敗復C組,1,,,,,,,1
65,2015,全日本大学選手権大会,120,m4+,敗復C組,6,,,,,,,6
66,2015,全日本大学選手権大会,121,m4+,敗復D組,3,岡山大学,01:42.05,03:29.49,05:18.09,07:03.95,1,3
67,2015,全日本大学選手権大会,121,m4+,敗復D組,2,慶應義塾大学医学部,01:44.98,03:32.01,05:20.61,07:08.62,2,2
68,2015,全日本大学選手権大会,121,m4+,敗復D組,4,大阪市立大学,01:48.23,03:34.84,05:22.97,07:11.47,3,4
69,2015,全日本大学選手権大会,121,m4+,敗復D組,5,成城大学,01:46.36,03:35.63,05:25.02,07:12.52,4,5
70,2015,全日本大学選手権大会,121,m4+,敗復D組,1,,,,,,,1
71,2015,全日本大学選手権大会,121,m4+,敗復D組,6,,,,,,,6
72,2015,全日本大学選手権大会,122,m4+,敗復E組,3,鳥取大学,01:40.39,03:26.49,05:13.51,06:57.77,1,3
73,2015,全日本大学選手権大会,122,m4+,敗復E組,4,龍谷大学,01:41.38,03:27.62,05:15.51,07:00.87,2,4
74,2015,全日本大学選手権大会,122,m4+,敗復E組,5,金沢大学,01:43.89,03:31.14,05:20.50,07:10.04,3,5
75,2015,全日本大学選手権大会,122,m4+,敗復E組,2,神戸大学,01:44.96,03:34.47,05:25.35,07:14.48,4,2
76,2015,全日本大学選手権大会,122,m4+,敗復E組,1,,,,,,,1
77,2015,全日本大学選手権大会,122,m4+,敗復E組,6,,,,,,,6
78,2015,全日本大学選手権大会,123,m4+,敗復F組,4,学習院大学,01:39.87,03:26.67,05:13.68,06:58.66,1,4
79,2015,全日本大学選手権大会,123,m4+,敗復F組,3,東京大学,01:45.31,03:27.54,05:14.63,07:00.89,2,3
80,2015,全日本大学選手権大会,123,m4+,敗復F組,2,京都大学,01:38.25,03:25.12,05:16.17,07:05.67,3,2
81,2015,全日本大学選手権大会,123,m4+,敗復F組,5,東京工業大学,01:52.73,03:42.64,05:34.99,07:23.46,4,5
82,2015,全日本大学選手権大会,123,m4+,敗復F組,1,滋賀大学教育学部,01:49.84,03:38.87,05:33.38,07:27.00,5,1
83,2015,全日本大学選手権大会,123,m4+,敗復F組,6,,,,,,,6
84,2015,全日本大学選手権大会,124,m4+,敗復G組,3,立教大学,01:41.00,03:24.86,05:12.31,06:56.85,1,3
85,2015,全日本大学選手権大会,124,m4+,敗復G組,2,東北大学,01:42.40,03:27.90,05:14.56,06:57.57,2,2
86,2015,全日本大学選手権大会,124,m4+,敗復G組,4,東京経済大学,01:39.56,03:27.05,05:17.77,07:07.21,3,4
87,2015,全日本大学選手権大会,124,m4+,敗復G組,5,防衛大学校,01:45.94,03:38.84,05:31.44,07:20.30,4,5
88,2015,全日本大学選手権大会,124,m4+,敗復G組,1,早稲田大学理工漕艇部,01:47.42,03:39.32,05:34.05,07:27.97,5,1
89,2015,全日本大学選手権大会,124,m4+,敗復G組,6,,,,,,,6
