team,100,200,300,400,500,600,700,800,900,1000
滋賀大学,,,44,,88,,,,,192.2
同志社大学,,,45,,89,,,,,185.9
龍谷大学,,,45,,90,,,,,181.3
東レ滋賀,,,42,,84,,,,,170.9
大阪大学,16,32,50,68,90,108,128,143,162,180
関西学院大学,,,46,,92,,,,,189.7
