,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
45,2011,全日本大学選手権大会,54,m4+,予選H組,4,滋賀医科大学,01:45.44,03:35.56,05:24.20,07:13.50,4,
46,2011,全日本大学選手権大会,54,m4+,予選H組,5,佐賀大学医学部,01:48.41,03:40.00,05:30.44,07:18.88,5,
47,2011,全日本大学選手権大会,54,m4+,予選H組,6,,,,,,,
48,2011,全日本大学選手権大会,111,m4+,敗復A組,3,東京大学,01:55.32,03:56.40,06:01.88,08:07.75,1,→Semi-Final
49,2011,全日本大学選手権大会,111,m4+,敗復A組,5,滋賀大学教育学部,02:01.85,04:04.90,06:09.86,08:14.68,2,
50,2011,全日本大学選手権大会,111,m4+,敗復A組,2,佐賀大学医学部,02:03.78,04:09.84,06:16.46,08:17.58,3,
51,2011,全日本大学選手権大会,111,m4+,敗復A組,4,北海道大学,02:01.02,04:07.49,06:15.91,08:21.58,4,
52,2011,全日本大学選手権大会,111,m4+,敗復A組,1,,,,,,,
53,2011,全日本大学選手権大会,111,m4+,敗復A組,6,,,,,,,
54,2011,全日本大学選手権大会,112,m4+,敗復B組,3,一橋大学,01:59.71,04:09.54,06:17.25,08:21.48,1,→Semi-Final
55,2011,全日本大学選手権大会,112,m4+,敗復B組,4,東京経済大学,02:00.04,04:09.12,06:21.35,08:29.70,2,
56,2011,全日本大学選手権大会,112,m4+,敗復B組,2,福島県立医科大学,01:59.46,04:14.36,06:31.58,08:44.23,3,
57,2011,全日本大学選手権大会,112,m4+,敗復B組,5,大阪府立大学,02:02.63,04:22.42,06:43.11,08:53.07,4,
58,2011,全日本大学選手権大会,112,m4+,敗復B組,1,,,,,,,
59,2011,全日本大学選手権大会,112,m4+,敗復B組,6,,,,,,,
60,2011,全日本大学選手権大会,113,m4+,敗復C組,3,京都大学,02:00.50,04:05.68,06:08.09,08:14.27,1,→Semi-Final
61,2011,全日本大学選手権大会,113,m4+,敗復C組,4,岐阜経済大学,02:04.80,04:11.78,06:15.82,08:22.16,2,
62,2011,全日本大学選手権大会,113,m4+,敗復C組,2,新潟大学,02:05.81,04:15.94,06:21.87,08:24.56,3,
63,2011,全日本大学選手権大会,113,m4+,敗復C組,5,広島大学,02:03.26,04:12.30,06:21.12,08:33.39,4,
64,2011,全日本大学選手権大会,113,m4+,敗復C組,1,,,,,,,
65,2011,全日本大学選手権大会,113,m4+,敗復C組,6,,,,,,,
66,2011,全日本大学選手権大会,114,m4+,敗復D組,3,立教大学,01:57.75,04:00.23,06:01.16,08:01.92,1,→Semi-Final
67,2011,全日本大学選手権大会,114,m4+,敗復D組,4,慶應義塾大学,02:00.26,04:04.54,06:06.40,08:06.10,2,
68,2011,全日本大学選手権大会,114,m4+,敗復D組,2,滋賀医科大学,01:58.87,04:03.27,06:06.20,08:06.27,3,
69,2011,全日本大学選手権大会,114,m4+,敗復D組,5,大阪市立大学,02:04.53,04:17.30,06:27.24,08:32.31,4,
70,2011,全日本大学選手権大会,114,m4+,敗復D組,1,,,,,,,
71,2011,全日本大学選手権大会,114,m4+,敗復D組,6,,,,,,,
72,2011,全日本大学選手権大会,115,m4+,敗復E組,3,学習院大学,01:50.73,03:42.67,05:36.53,07:25.19,1,→Semi-Final
73,2011,全日本大学選手権大会,115,m4+,敗復E組,2,鹿児島大学,01:51.80,03:46.15,05:43.12,07:31.01,2,
74,2011,全日本大学選手権大会,115,m4+,敗復E組,4,慶應義塾大学医学部,01:52.90,03:47.85,05:42.90,07:31.86,3,
75,2011,全日本大学選手権大会,115,m4+,敗復E組,5,神戸大学,01:58.93,03:56.94,05:55.45,07:47.16,4,
76,2011,全日本大学選手権大会,115,m4+,敗復E組,1,,,,,,,
77,2011,全日本大学選手権大会,115,m4+,敗復E組,6,,,,,,,
78,2011,全日本大学選手権大会,116,m4+,敗復F組,3,東北大学,01:38.94,03:21.89,05:06.79,06:51.24,1,→Semi-Final
79,2011,全日本大学選手権大会,116,m4+,敗復F組,2,長崎大学医学部,01:44.06,03:29.71,05:17.21,07:04.07,2,
80,2011,全日本大学選手権大会,116,m4+,敗復F組,4,金沢大学,01:43.06,03:32.18,05:23.22,07:11.04,3,
81,2011,全日本大学選手権大会,116,m4+,敗復F組,5,関西学院大学,01:44.41,03:32.84,05:23.81,07:12.19,4,
82,2011,全日本大学選手権大会,116,m4+,敗復F組,1,,,,,,,
83,2011,全日本大学選手権大会,116,m4+,敗復F組,6,,,,,,,
84,2011,全日本大学選手権大会,117,m4+,敗復G組,3,富山国際大学,01:38.21,03:20.86,05:07.13,06:51.80,1,→Semi-Final
85,2011,全日本大学選手権大会,117,m4+,敗復G組,2,日本体育大学,01:41.68,03:27.17,05:17.39,07:04.18,2,
86,2011,全日本大学選手権大会,117,m4+,敗復G組,4,熊本大学,01:46.09,03:37.12,05:30.38,07:17.56,3,
87,2011,全日本大学選手権大会,117,m4+,敗復G組,5,名古屋工業大学,01:48.30,03:42.16,05:38.70,07:29.96,4,
88,2011,全日本大学選手権大会,117,m4+,敗復G組,1,,,,,,,
89,2011,全日本大学選手権大会,117,m4+,敗復G組,6,,,,,,,
90,2011,全日本大学選手権大会,118,m4+,敗復H組,3,仙台大学,01:36.72,03:19.64,05:04.37,06:47.19,1,→Semi-Final
91,2011,全日本大学選手権大会,118,m4+,敗復H組,4,島根大学,01:40.72,03:30.11,05:19.86,07:08.49,2,
92,2011,全日本大学選手権大会,118,m4+,敗復H組,2,早稲田大学理工漕艇部,01:43.90,03:34.49,05:25.68,07:14.18,3,
93,2011,全日本大学選手権大会,118,m4+,敗復H組,1,近畿大学,01:44.91,03:36.72,05:30.56,07:20.14,4,
94,2011,全日本大学選手権大会,118,m4+,敗復H組,5,防衛大学校,01:52.91,03:48.92,05:45.26,07:40.58,5,
95,2011,全日本大学選手権大会,118,m4+,敗復H組,6,,,,,,,
96,2011,全日本大学選手権大会,162,m4+,準決A組,3,日本大学,01:35.88,03:17.99,05:05.05,06:51.96,1,→Final A
97,2011,全日本大学選手権大会,162,m4+,準決A組,4,東海大学,01:42.90,03:29.28,05:17.43,07:01.02,2,→Final B
98,2011,全日本大学選手権大会,162,m4+,準決A組,2,学習院大学,01:41.70,03:25.76,05:14.54,07:01.55,3,
99,2011,全日本大学選手権大会,162,m4+,準決A組,5,立教大学,01:40.94,03:27.49,05:15.41,07:01.83,4,
100,2011,全日本大学選手権大会,162,m4+,準決A組,1,,,,,,,
101,2011,全日本大学選手権大会,162,m4+,準決A組,6,,,,,,,
102,2011,全日本大学選手権大会,163,m4+,準決B組,2,富山国際大学,01:37.58,03:21.32,05:06.89,06:52.57,1,→Final A
103,2011,全日本大学選手権大会,163,m4+,準決B組,3,山口大学,01:39.19,03:22.76,05:07.54,06:52.82,2,→Final B
104,2011,全日本大学選手権大会,163,m4+,準決B組,4,松山大学,01:45.16,03:28.68,05:17.28,07:04.01,3,
105,2011,全日本大学選手権大会,163,m4+,準決B組,5,東京大学,01:43.24,03:31.05,05:18.40,07:08.26,4,
106,2011,全日本大学選手権大会,163,m4+,準決B組,1,,,,,,,
107,2011,全日本大学選手権大会,163,m4+,準決B組,6,,,,,,,
108,2011,全日本大学選手権大会,164,m4+,準決C組,3,明治大学,01:38.38,03:22.75,05:09.46,06:55.25,1,→Final A
109,2011,全日本大学選手権大会,164,m4+,準決C組,5,京都大学,01:39.20,03:24.65,05:12.65,06:58.97,2,→Final B
110,2011,全日本大学選手権大会,164,m4+,準決C組,2,東北大学,01:41.14,03:24.63,05:15.28,06:59.87,3,
111,2011,全日本大学選手権大会,164,m4+,準決C組,4,立命館大学,01:43.17,03:32.15,05:21.72,07:09.99,4,
112,2011,全日本大学選手権大会,164,m4+,準決C組,1,,,,,,,
113,2011,全日本大学選手権大会,164,m4+,準決C組,6,,,,,,,
114,2011,全日本大学選手権大会,165,m4+,準決D組,2,仙台大学,01:38.32,03:20.56,05:07.81,06:54.03,1,→Final A
115,2011,全日本大学選手権大会,165,m4+,準決D組,3,中央大学,01:37.93,03:23.82,05:13.21,06:59.17,2,→Final B
116,2011,全日本大学選手権大会,165,m4+,準決D組,4,龍谷大学,01:40.67,03:25.46,05:13.89,07:00.89,3,
