,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
57,2000,intercollege,66,m4+,敗復B組,5,香川大学,01:45.82,03:38.40,05:32.75,07:27.26,4,
58,2000,intercollege,66,m4+,敗復B組,1,,,,,,,
59,2000,intercollege,66,m4+,敗復B組,6,,,,,,,
60,2000,intercollege,67,m4+,敗復C組,3,北海道大学,01:39.15,03:26.05,05:15.31,07:01.05,1,->Semi-Final
61,2000,intercollege,67,m4+,敗復C組,4,東京工業大学,01:41.99,03:27.57,05:16.19,07:02.51,2,
62,2000,intercollege,67,m4+,敗復C組,2,徳島大学,01:45.57,03:35.92,05:28.16,07:19.40,3,
63,2000,intercollege,67,m4+,敗復C組,5,熊本大学,01:45.01,03:37.73,05:33.87,07:29.64,4,
64,2000,intercollege,67,m4+,敗復C組,1,,,,,,,
65,2000,intercollege,67,m4+,敗復C組,6,,,,,,,
66,2000,intercollege,68,m4+,敗復D組,3,埼玉大学,01:42.16,03:31.24,05:18.75,07:05.93,1,->Semi-Final
67,2000,intercollege,68,m4+,敗復D組,4,新潟大学,01:44.80,03:33.47,05:24.20,07:10.17,2,
68,2000,intercollege,68,m4+,敗復D組,2,大同工業大学,01:46.88,03:37.14,05:29.54,07:21.31,3,
69,2000,intercollege,68,m4+,敗復D組,5,大阪府立大学,01:50.26,03:44.41,05:40.60,07:34.01,4,
70,2000,intercollege,68,m4+,敗復D組,1,,,,,,,
71,2000,intercollege,68,m4+,敗復D組,6,,,,,,,
72,2000,intercollege,69,m4+,敗復E組,3,東北学院大学,01:40.07,03:26.07,05:12.73,06:58.30,1,->Semi-Final
73,2000,intercollege,69,m4+,敗復E組,4,立命館大学,01:43.54,03:31.96,05:18.20,07:03.94,2,
74,2000,intercollege,69,m4+,敗復E組,2,慶應義塾大学,01:44.80,03:31.79,05:19.98,07:10.34,3,
75,2000,intercollege,69,m4+,敗復E組,5,南山大学,01:51.02,03:41.34,05:34.38,07:23.90,4,
76,2000,intercollege,69,m4+,敗復E組,1,,,,,,,
77,2000,intercollege,69,m4+,敗復E組,6,,,,,,,
78,2000,intercollege,70,m4+,敗復F組,3,岡山大学,01:41.63,03:28.60,05:15.14,06:57.90,1,->Semi-Final
